"序号","物料编码","名称及规格","版本","件数","备注"
"1","02151607010201420","起吊点","A","4",""
"2","02151607010201102","标识总成XI","A","2",""
"3","02151607010201092","轮胎倾轧危险标识","A","3",""
"4","02151607010201540","胎压标识","A","4",""
"5","02151607010201410","捆绑点","A","6",""
"6","02150607010201021","ZTH3507型号标识-I","A","1",""
"7","02151607010201391","液压油箱标识","A","1",""
"8","02151607010201371","爆炸的危险标识","A","1",""
"9","02151607010201351","燃油箱标识","A","1",""
"10","02151607010201161","高油位标识","A","1",""
"11","02151607010201490","液压快速接头指导标识","A","1",""
"12","02151607010201012","标识总成I","A","1",""
"13","02151607010201112","轮胎倾翻危险标识","A","2",""
"14","02151607010201191","液压油箱低油位标识","A","1",""
