"序号","物料编码","名称及规格","版本","件数","备注"
"1","1140101476","直角组合接头","A","1","EW10LOMDCF"
"2","1140101516","直通隔板式接头","A","1","SV10LOMDCF"
"3","1011200243","端直通组合接头","A","1","EGE10LR3/8EDCF"
"4","02151605303270000","刹车油吸油座","A","1",""
"5","1990202279","涡轮涡杆卡箍","A","4","SX9/W4/12-20"
"6","02150605200491080","制动油壶胶管","A","1",""
"7","02150605200491090","制动油壶胶管","A","1",""
"8","1040104080","螺钉","A","1","GB/T70.1-2000"
"9","1040300514","垫圈","A","1","GB/T97.1-2002"
"10","02150605200491030","卡板2mm","A","1",""
"11","1040200574","螺母","A","1","GB/T6170-2000"
"12","1019902078","制动油壶","A","1","RO15319"
