"序号","物料编码","名称及规格","版本","件数","备注"
"6","02150600300400000","第二节臂焊件","B","1",""
"32","02150600300610000","滑块","A","2",""
"33","02150600300801070","调整垫片","A","4",""
"34","1040302490","垫圈","B","6","GB/T97.1-2002"
"35","1040004028","螺栓","A","6","GB/T5783-2016"
"36","1040104083","螺钉","A","4","GB/T70.1-2000"
"37","1040302489","垫圈","B","14","GB/T97.1-2002"
"38","02154400301230000","滑块","B","4",""
"39","00771400301401020","调整垫片","B","8",""
"40","02150600300801010","滑块","A","2",""
"41","1040004032","螺栓","A","6","GB/T5783-2000"
"42","02150600300801030","调整垫片","A","2",""
"43","02150600300801020","滑块","A","2",""
"44","1040102740","螺钉","A","4","GB/T70.1-2000"
"45","02150600300820000","滑块","A","1",""
