"序号","物料编码","名称及规格","版本","件数","备注"
"1","02150600200400000","连接装置焊件","B","1",""
"2","02151600200001021","限位销轴","A","2",""
"3","00773400400001250","止动销","E","2",""
"4","1040002445","螺栓","A","2","GB/T5783-2000"
"5","02151600200600000","机械插销","A","1",""
"6","02150600200001050","连杆销轴","B","1",""
"7","1040002855","螺栓","A","2","GB/T5783-2000"
"8","02150600200001040","连杆销轴II","B","1",""
"9","00771400210001180","止动销","C","2",""
"10","02150600200001081","JDB轴承I","A","2",""
"11","02150600200001010","连杆","B","1",""
"12","1040004570","螺栓","A","1","GB/T5783-2000"
"13","1040302492","垫圈","B","1","GB/T97.1-2002"
"14","02150600200800000","调平油缸销轴焊件","B","1",""
"15","02150600200600000","摇臂焊件","B","1",""
"16","02150600200001091","JDB轴承II","A","2",""
"17","1080000006","油杯","A","1","JB/T7940.1-1995"
"18","02150600200001020","臂头销轴","B","1",""
"19","1040200507","螺母","A","2","GB/T889.1-2000"
"20","1040302490","垫圈","B","4","GB/T97.1-2002"
"21","1040005888","螺栓","A","2","GB/T5782-2000"
"22","1040502154","β型开口销","A","1","DIN 11024"
"23","02151600200800001","液压油缸插销总成","A","1",""
