"序号","物料编码","名称及规格","版本","件数","备注"
"1","1000100808","空气滤清器总成","A","1",""
"2","1040303580","垫圈","A","8","GB/T96.1-2002"
"3","1040004518","螺栓","A","8","GB/T5783-2000"
"4","1009901388","螺旋涡轮涡杆卡箍","A","1","SX12/W3/108-130"
"5","02150607100801031","进气管II","A","1",""
"6","1990202290","螺旋涡轮涡杆卡箍","A","2","SX12/W3/70-92"
"7","1040202862","螺母","A","4","GB/T6177.1-2000"
"8","02150607100801050","双边管夹","A","1",""
"9","02150607100801042","进气钢管I","A","1",""
"10","02150607100801010","进气胶管","A","1",""
"11","1990202289","螺旋涡轮涡杆卡箍","A","1","SX12/W3/57-79"
