"序号","物料编码","名称及规格","版本","件数","备注"
"1","1149902839(2)","暖水管直通转接钢管Φ16","A","2","20000301"
"2","1990202280(2)","涡轮涡杆卡箍","A","6","SX9/W4/16-25"
"3","1040007511(2)","螺栓","A","2","GB/T5782-2000"
"4","1040302489(2)","垫圈","B","12","GB/T97.1-2002"
"5","1040202856(2)","螺母","A","2","GB/T889.1-2000"
"6","1040007536(2)","螺栓","A","4","GB/T5783-2000"
"7","1040201646(2)","螺母","A","4","GB/T6170-2000"
"8","1040006553","螺栓","A","1","GB/T70.1-2000"
"9","1040300771(2)","垫圈","A","2","GB/T97.1-2002"
"10","1040301610(2)","垫圈","A","2","GB/T93-1987"
"11","1040201865(2)","螺母","A","2","GB/T6170-2000"
"12","1040301502(2)","垫圈","A","8","GB/T93-1987"
"13","1139901926(2)","暖水管(进)","A","1",""
"14","1070700028","压缩机","A","1","KD82G001Z"
"15","1060100518(2)","水阀","A","1","KK82G004Z"
"16","1139902419","吸气管","A","1",""
"17","1139901923(2)","液体管","A","1",""
"18","1999909127","CAN控制盒","A","1","TJ82G001Z"
"19","1021000449(2)","冷凝器及电子风扇总成","A","1","KC72A003A"
"20","1139902420","排气管","A","1",""
"21","1149902838","暖水管(出口)","A","1",""
