"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040004519","螺栓","A","4","GB/T5783-2000"
"2","1040301510","垫圈","A","4","GB/T93-1987"
"3","1040303580","垫圈","A","4","GB/T96.1-2002"
"4","1010310707","多路阀","A","1","DRFC22306@SDS1
40_4@I R04"
"5","1140102940","端直通接头","A","1","GE28LR3/4EDOMD
CF"
"6","1140101464","端直通接头","A","4","GE15LREDOMDCF"
"7","1140115140","端直通加长接头","A","4","GE15LREDOMDCF
-L45"
"8","1140114403","直角组合接头","A","5","EV15LOMDCF"
"9","1140101478","直角组合接头","A","2","EW15LOMDCF"
"10","1140101521","端直通接头","A","2","GE12LR1/4EDOMD
CF"
"11","1140101477","直角组合接头","A","3","EW12LOMDCF"
"12","1140102452","直角组合接头","A","1","EW25SOMDCF"
"13","1140105902","三通组合接头","A","1","EL25SOMDCF"
"14","1019901502","对接式变径接头","A","1","RED25S/12LOMDC
F"
"15","1140118187","端直通接头","A","1","GE25SR3/4EDOMD
A3C"
"16","1140114039","液压管接头","A","1","GE10LREDOMD"
"17","1140101813","端直通接头","A","1","GE08LMEDOMDC
F"
"18","1140114187","测压接头","A","1","SD-M16×2-F-G1/4"""
