"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040004519","螺栓","A","3","GB/T5783-2000"
"2","1040301510","垫圈","A","3","GB/T93-1987"
"3","1040301515","垫圈","A","3","GB/T97.1-2002"
"4","1010201898","制动缸","A","1","VV08721C-001"
"5","1140102198","端直通接头","A","1","GE10LM18×
1.5EDOMDCF"
"6","1140114046","液压管接头","A","1","EL10LOMD"
"7","1140101476","直角组合接头","A","2","EW10LOMDCF"
"8","1140105938","压力表接头","A","1","MAVE10LRCF"
"9","1019902290","端直通加长接头","A","1","GE10LM18×
1.5EDOMDCF- 54"
"10","1140101475","直角组合接头","A","1","EW08LOMDCF"
"11","1019902670","端直通加长接头","A","1","GE08LREDOMDCF
-L45"
"12","1019902669","端直通加长接头","A","1","GE10LM18×
1.5EDOMDCF-
L41.5"
"13","1040201089","螺母","A","3","GB/T6170-2000"
