"序号","物料编码","名称及规格","版本","件数","备注"
"1","02150600300200000","第一节臂焊件","B","1",""
"12","1040301515","垫圈","A","9","GB/T97.1-2002"
"19","1040002433","螺栓","A","12","GB/T5783-2000"
"20","1040302489","垫圈","B","12","GB/T97.1-2002"
"21","00771400301401020","调整垫片","B","12",""
"22","02154400301230000","滑块","B","6",""
"23","02150600300610000","滑块","A","2",""
"24","02150600300620000","垫块","A","2",""
"25","1040302490","垫圈","B","6","GB/T97.1-2002"
"26","1040002437","螺栓","A","6","GB/T5783-2000"
"27","1040007538","螺栓","A","4","GB/T5782-2000"
"28","02150600300601051","压板","A","2",""
"29","02150600300601040","管夹","A","4",""
"30","02150600300601031","垫板","A","1",""
"31","02150600300601090","调整垫片","A","3",""
