"序号","物料编码","名称及规格","版本","件数","备注"
"1","02151607100601271","海绵条","A","1",""
"2","1040302821","垫圈","A","8","GB/T96.1-2002"
"3","1040004028","螺栓","A","8","GB/T5783-2016"
"4","02150607100601210","安装板Ⅰ","A","1",""
"5","02150607100601220","安装板Ⅱ","A","1",""
"6","1040002738","螺栓","A","8","GB/T5783-2000"
"7","1040300771","垫圈","A","8","GB/T97.1-2002"
"8","02150607100601201","散热器总成","A","1",""
"9","1990201715","管夹","A","2","TLPG12-110"
"10","02150607100601180","蒸汽钢管","A","1",""
"11","02150607100601190","蒸汽胶管Ⅱ","A","1",""
"12","02150607100601171","蒸汽胶管","A","1",""
"13","1990202279","涡轮涡杆卡箍","A","4","SX9/W4/12-20"
"14","1040202862","螺母","A","4","GB/T6177.1-2000"
"15","1000300735","膨胀水箱","A","1","1311-01690"
"16","02150607100601310","管夹","A","1",""
"17","1040004517","螺栓","A","4","GB/T5783-2000"
"18","02150607100601161","补水管","A","1",""
"19","1990202282","涡轮涡杆卡箍","A","2","SX9/W4/25-40"
"20","02150607100601240","回水钢管Ⅱ","A","1",""
"21","02150607100601250","回水管Ⅲ","A","1",""
"22","02150607100601130","回水管II","A","1",""
"23","02150607100601230","膨胀水箱安装板","A","1",""
"24","1040302480","垫圈","B","4","GB/T96.1-2002"
"25","1040004518","螺栓","A","4","GB/T5783-2000"
"26","02150607100601032","回水管I","A","1",""
"27","1010101825","齿轮马达","B","1","CMFH-F316-
CL3ZS[A]"
"28","02150607100601081","管路支撑板","A","1",""
"29","1040301021","垫圈","B","4","GB/T97.1-2002"
"30","1040004029","螺栓","A","4","GB/T5783-2000"
"31","1040004632","螺栓","A","4","GB/T5782-2000"
"32","1040301515","垫圈","A","12","GB/T97.1-2002"
"33","02150607100601123","回水钢管Ⅰ","A","1",""
"34","1990202288","螺旋涡轮涡杆卡箍","A","10","SX12/W3/45-67"
