"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040002738","螺栓","A","12","GB/T5783-2000"
"2","1040301515","垫圈","A","5","GB/T97.1-2002"
"3","02151607100401090","油箱盖总成","A","1",""
"4","1040202856","螺母","A","2","GB/T889.1-2000"
"5","1040303581","垫圈","A","4","GB/T96.1-2002"
"6","1040007536","螺栓","A","2","GB/T5783-2000"
"7","02151607100401011","油位传感器","A","1",""
"8","1040300514","垫圈","A","8","GB/T97.1-2002"
"9","1040004672","螺栓","A","8","GB/T5783-2000"
"10","02151607100411180","呼吸阀","A","1",""
"11","1040002555","螺栓","A","5","GB/T5783-2000"
"12","1990200692","涂塑胶条","B","5","20-φ20-φ20-M8"
"13","1040303579","垫圈","A","5","GB/T96.1-2002"
"14","02151607100410004","燃油箱总成","B","1",""
"15","1019901354","液位液温计","A","1","FSA-176-1.0/T/10"
"16","02151607100414180","清洗口盖板","B","1",""
"17","1040300771","垫圈","A","8","GB/T97.1-2002"
"18","02552307100411100","密封圈","A","1",""
