"序号","物料编码","名称及规格","版本","件数","备注"
"1","02150601100210002","上机罩","B","1",""
"2","1110100379","气弹簧","A","2","000815-1050N"
"3","02150601100220021","下机罩左侧挡板焊接","A","1",""
"4","1040002555","螺栓","A","10","GB/T5783-2000"
"5","1040102598","螺钉","B","2","GB/T70.1-2000"
"6","1040300771","垫圈","A","7","GB/T97.1-2002"
"7","1100700163","门把手","A","1","26983-09"
"8","02151601100201051","锁芯安装板","B","1",""
"9","1109900766","电池门锁","A","1","50076-C38K"
"10","1040004553","螺栓","A","4","GB/T5783-2000"
"11","02151601100201061","圆钢","A","1",""
"12","02150601100201020","圆钢安装板","A","1",""
"13","1040007536","螺栓","A","2","GB/T5783-2000"
"14","1040303581","垫圈","A","8","GB/T96.1-2002"
"15","1040301502","垫圈","A","2","GB/T93-1987"
"16","1040004678","门碰螺栓","A","2","M10×70"
"17","02150601100201080","电气开关支架","A","1",""
"18","1040301610","垫圈","A","2","GB/T93-1987"
"19","02150601100220011","下机罩前挡板焊接","B","1",""
"20","1040201646","螺母","A","10","GB/T6170-2000"
"21","02150601100220031","下机罩右侧挡板焊接","B","1",""
"22","1040004519","螺栓","A","2","GB/T5783-2000"
"23","1040202855","螺母","A","1","GB/T889.1-2000"
"24","02150601100221021","连接板","A","1",""
"25","1040004028","螺栓","A","10","GB/T5783-2016"
"26","1040301031","垫圈","B","10","GB/T96.1-2002"
"27","02150601100221011","盖板","B","1",""
"28","1040001640","螺栓","A","50","GB/T5783-2000"
"29","1040303579","垫圈","A","110","GB/T96.1-2002"
"30","1040201896","螺母","A","50","GB/T889.1-2015"
"31","1040004619","螺栓","A","6","GB/T5783-2000"
"32","1040303580","垫圈","A","19","GB/T96.1-2002"
"33","02151601100250000","合页","A","2",""
"34","1040301510","垫圈","A","19","GB/T93-1987"
"35","1040201089","螺母","A","23","GB/T6170-2000"
