"序号","物料编码","名称及规格","版本","件数","备注"
"1","02150607101001061","消声器","A","1",""
"2","1040202864","螺母","A","4","GB/T 6183.1-2000"
"3","02151607101001201","密封垫片I","A","1",""
"4","1040302489","垫圈","B","4","GB/T97.1-2002"
"5","1040007536","螺栓","A","4","GB/T5783-2000"
"6","02150607101001072","排气管Ⅰ","A","1",""
"7","1040301515","垫圈","A","3","GB/T97.1-2002"
"8","1040004520","螺栓","A","7","GB/T5783-2000"
"9","02150607101001051","消声器支架","A","1",""
"10","1040302480","垫圈","B","4","GB/T96.1-2002"
"11","02150607101001080","调整垫片","A","3",""
"12","1040004028","螺栓","A","4","GB/T5783-2016"
"13","1040301031","垫圈","B","4","GB/T96.1-2002"
"14","1040004518","螺栓","A","4","GB/T5783-2000"
"15","1040303580","垫圈","A","8","GB/T96.1-2002"
"16","1040200503","螺母","A","4","GB/T889.1-2000"
"17","02151607101001097","排气管II","A","1",""
