"序号","物料编码","名称及规格","版本","件数","备注"
"30","1040301016","垫圈","B","10","GB/T97.1-2002"
"38","02150602803200001","变幅油缸销轴焊接","A","1",""
"39","02150602800601041","轴承","A","2",""
"40","1080000006","油杯","A","4","JB/T7940.1-1995"
"41","02150602800601010","隔套I","A","1",""
"42","1040002445","螺栓","A","3","GB/T5783-2000"
"43","02150602800640000","变幅油缸","B","1",""
"44","02150602800601031","轴承","A","2",""
"45","02150602800601021","隔套II","A","1",""
"46","02150602805001011","轴承","A","1",""
"47","02150602805600000","辅助调平油缸","A","1",""
"48","02150602805001021","轴承","A","2",""
"49","02154402806800001","销轴","A","1",""
