"序号","物料编码","名称及规格","版本","件数","备注"
"1","02150600300200000","第一节臂焊件","B","1",""
"54","1040201089","螺母","A","2","GB/T6170-2000"
"55","1040301515","垫圈","A","12","GB/T97.1-2002"
"56","02151600300801180","滑块","A","1",""
"57","1040103112","螺钉","A","2","GB/T70.1-2000"
"58","02150600301010000","伸缩油缸","B","1",""
"59","1040004518","螺栓","A","6","GB/T5783-2000"
"60","02150600301001061","挡板","A","1",""
"61","02150600301001010","销轴","B","2",""
"62","1040302489","垫圈","B","4","GB/T97.1-2002"
"63","1040201646","螺母","A","2","GB/T6170-2000"
"64","1040006095","外六角螺栓","A","2","GB/T5782-2000"
