"序号","物料编码","名称及规格","版本","件数","备注"
"1","1020706847","48P公端护套","A","1",""
"2","1020700680","二位壳体","A","1",""
"3","1020705251","护套","A","1",""
"4","1020703120","2插护套插座","A","1",""
"5","1020704288","3插护套插头","A","1",""
"6","1022202383","终端电阻","A","1",""
"7","1020705376","接插件","A","1",""
"8","1020706390","三芯护套","A","1",""
"9","1022202106","护套","A","3",""
"10","1020703121","2插护套插头","A","5",""
"11","1020706869","接插件","A","1",""
"12","1029901585","O形裸端头","A","2",""
"13","1020704919","护套","A","1",""
"14","1029906837","塑壳","A","1",""
"15","1029901587","O形裸端头","A","1",""
"16","1020520191","接线头","A","1",""
