"序号","物料编码","名称及规格","版本","件数","备注"
"1","1000001776","柴油发动机","B","1","WP4.1G100E301"
"2","1040007196","螺栓","B","4","GB/T5782-2000"
"3","1040301016","垫圈","B","4","GB/T97.1-2002"
"4","02150607100201060","发动机支撑板II","A","1",""
"5","1040302489","垫圈","B","8","GB/T97.1-2002"
"6","1040007509","螺栓","A","4","GB/T5782-2000"
"7","1009901073","发动机减震器","A","8","MDS95-45(10-
04816)"
"8","02151607100201070","垫板","A","4",""
"9","1040202858","螺母","A","4","GB/T889.1-2000"
"10","1040007221","螺栓","A","4","GB/T5782-2000"
"10","02150607100201080","垫板II","A","1",""
"11","02150607100201051","发动机支撑板I","A","1",""
"12","02150607100201070","垫板I","A","1",""
