"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040301021","垫圈","B","2","GB/T97.1-2002"
"2","1040301504","垫圈","A","2","GB/T93-1987"
"3","1040104812","螺钉","A","2","ANSIB18.3-2008"
"4","1140101564","法兰哈夫","A","1","FHS34CFX"
"5","1040301502","垫圈","A","4","GB/T93-1987"
"6","1040102740","螺钉","A","4","GB/T70.1-2000"
"7","1149902461","测压接头","A","1","VKA3/18L"
"8","1140114637","变径接头","A","1","RED25S/18LOMDC
F"
"9","1140118188","直通组合接头","A","1","GZ25SCF"
"10","1010310881","直通单向阀","A","1","RHD25SOMDCF-
0.3bar"
"11","1140105902","三通组合接头","A","1","EL25SOMDCF"
"12","1159901599","直通法兰接头","A","1","GFS34/25SCFX"
"13","1140102936","端直通接头","A","1","GE10LR1/2EDOMD
CF"
"14","1010003349","齿轮泵串泵","A","1","KP30.51-A8K9-
LME/MC"
"15","1140101707","端直通接头","A","1","GE22LREDOMDCF"
"16","1140101630","法兰哈夫","B","1","FHS36CFX"
"17","1040301503","垫圈","A","4","GB/T93-1987"
"18","1040101978","螺钉","B","4","GB/T70.1-2000"
