"序号","物料编码","名称及规格","版本","件数","备注"
"17","1040105133","螺钉","A","8","ASMEB18.3-2012"
"18","02150603500201040","支架","A","3",""
"19","02150603500201050","直流接触器支架","B","1",""
"20","1040302489","垫圈","B","10","GB/T97.1-2002"
"21","1040008995","螺柱","A","2","GB/T900-1988"
"22","1040201646","螺母","A","2","GB/T6170-2000"
"23","02150603500201030","变速箱安装支架II","A","1",""
"24","02150603500210001","变速箱安装支架","A","1",""
"25","1040302490","垫圈","B","6","GB/T97.1-2002"
"26","1040004029","螺栓","A","6","GB/T5783-2000"
"27","1040009305","螺栓","A","8","GB/T5783-2000"
"28","1030300811","变速箱","A","1","T12000/10411781"
