"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","02554600800200001","Сварной элемент поворотной 
платформы","C","1",""
"10","1040302512","Шайба","А","7","GB/T96.1-2002"
"24","1040302489","Шайба","B","13","GB/T97.1-2002"
"31","00771400801800000","Штифт в сборе","B","1",""
"32","00772700800001170","Штифт кронштейна двигателя","B","1",""
"33","00773400400001250","Стопорный штифт","E","1",""
"34","00771600301001340","Подшипник, не требующий смазки","B","2",""
"35","00772700800001180","Фрикционная накладка","А","1",""
"36","1040004570","Болт","А","1","JB/T5783-2016"
"37","00772500800001191","Прокладка кронштейна I","B","2",""
"38","00772500800001201","Прокладка кронштейна II","B","2",""
"39","00771400800001100","Вкладыш","C","1",""
"40","02553700800001110","Соединительная плита кронштейна 
двигателя","А","1",""
"41","1040201875","Гайка","B","4","GB/T889.1-2000"
"42","1040004593","Болт","А","2","JB/T5782-2000"
"43","1040002274","Болт","B","2","JB/T5783-2000"
"44","1040302513","Шайба","А","1","GB/T96.1-2002"
"45","1040301505","Шайба","А","1","JB/T93-1987"
"46","1040007054","Болт","B","1","JB/T5783-2016"
