"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"36","1140316145","Шланг в сборе","А","1",""
"37","1140316148","Шланг в сборе","А","1",""
"38","02554605201201045","Стальная труба в сборе","А","1",""
"39","1140218698","Шланг в сборе","А","1",""
"40","1140316144","Шланг в сборе","А","1",""
"41","1140316147","Шланг в сборе","А","1",""
"42","02554605201201044","Стальная труба в сборе","А","1",""
"43","1140316168","Шланг в сборе","А","1",""
"44","1140316143","Шланг в сборе","А","1",""
"45","1140316146","Шланг в сборе","А","1",""
"46","02554605201201043","Стальная труба в сборе","А","1",""
"47","1140284834","Шланг в сборе","А","1",""
"48","1140300073","Шланг в сборе","А","1",""
"49","1140224865","Шланг в сборе","А","2",""
"50","1140252318","Шланг в сборе","А","1",""
"51","1140232099","Шланг в сборе","А","2",""
"52","1140268341","Шланг в сборе","А","1",""
"53","1140245815","Шланг в сборе","А","2",""
"54","1140316141","Шланг в сборе","А","1",""
"55","1140316139","Шланг в сборе","А","1",""
"56","1140316140","Шланг в сборе","А","1",""
"57","1140103696","Прямой соединитель","А","2",""
"58","1140103412","Прямой соединитель типа 
перегородки","А","2",""
"59","1140111287","Тройник","А","1",""
"60","1140101486","Тройник","А","1",""
"61","1019803021","Тройник","А","1",""
"62","1140101438","Прямой соединитель","А","4",""
"63","1140105914","Прямой соединитель типа 
перегородки","А","3",""
