"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"5","02554600310800001","Сварная деталь стрелы четвертой 
секции","А","1",""
"21","1040302489","Шайба","B","60","GB/T97.1-2002"
"89","1040302489","Шайба","B","38","GB/T97.1-2002"
"91","1040002433","Болт","А","4","JB/T5783-2000"
"193","1040002434","Болт","А","8","JB/T5783-2016"
"196","1040201484","Гайка","А","4","JB/T6170-2000"
"199","00772500302201210","Скоба Ⅰ","B","4",""
"200","1040200741","Гайка","А","4","GB/T889.1-2000"
"229","00772500301650000","Штифт","B","2",""
"230","00772500301601030","Направляющее колесо","B","2",""
"231","00772500301660000","Держатель направляющего колеса","B","1",""
"232","02554600312201060","Стальной трос втягивающей 
третьей стрелы","А","2",""
"233","1040004518","Болт","А","6","JB/T5783-2000"
"234","00772500301601060","Износостойкая прокладка","А","4",""
"235","1040301515","Шайба","А","6","GB/T97.1-2002"
