"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1040100366","Винт","А","1",""
"2","00772700201000001","Поршень","А","1",""
"3","1081009073","Поршневое уплотнительное кольцо","А","1",""
"4","1081401903","Направляющее кольцо","А","1",""
"5","1081000568","О-образное кольцо","А","1",""
"6","1081007687","Стопорное кольцо","А","2",""
"7","1040103036","Винт","А","4",""
"8","1019901583","Кольцевой магнит OD33","А","1",""
"9","00772700201000006","Прокладка для магнитного кольца","А","1",""
"10","02554000203006000","Поршневой шток","А","1",""
"11","1040101782","Винт","А","1",""
"12","1149800770","Металлический 
водонепроницаемый резьбовой 
соединитель","А","1",""
"13","02554000203001000","Корпус цилиндра","А","1",""
"14","1040101340","Винт","А","1",""
"15","1021404749","Датчик смещения","А","1",""
"16","1081002069","О-образное кольцо","А","1",""
"17","1081008151","Стопорное кольцо","А","1",""
"18","1081401895","Направляющее кольцо","А","2",""
"19","1081007317","Уплотнительное кольцо STd","А","1",""
"20","1081010899","U-образное кольцо","А","1",""
"21","1081200968","FL Пылезащитное кольцо","А","1",""
"22","1081000913","О-образное кольцо","А","1",""
"23","00772700201000002","Направляющая втулка","А","1",""
