"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1140212611","Шланг в сборе","А","2",""
"2","1140232596","Шланг в сборе","А","1",""
"3","1140231570","Шланг в сборе","А","1",""
"4","1140245614","Шланг в сборе","А","2",""
"5","1140209512","Шланг в сборе","А","1",""
"6","1140298812","Шланг в сборе","А","1",""
"7","00772505210201020","Стальная труба для выдвижения-
втягивания II консоли","А","1",""
"8","1140298810","Шланг в сборе","А","1",""
"9","1140227090","Шланг в сборе","А","1",""
"10","1140298811","Шланг в сборе","А","1",""
"11","00772505210201010","Стальная труба для выдвижения-
втягивания I консоли","А","1",""
"12","1140245595","Шланг в сборе","А","1",""
"13","1140227123","Шланг в сборе","А","1",""
"14","1140298809","Шланг в сборе","А","1",""
"15","1140229052","Шланг в сборе","А","1",""
"16","1140228082","Шланг в сборе","А","1",""
"17","1140251076","Шланг в сборе","А","1",""
"18","1140221556","Шланг в сборе","А","1",""
"19","1140253912","Шланг в сборе","А","1",""
"20","1140212610","Шланг в сборе","А","1",""
"21","1140253955","Шланг в сборе","А","1",""
"22","1140316149","Шланг в сборе","А","1",""
"23","1140316152","Шланг в сборе","А","1",""
"24","02554605201201041","Стальная труба в сборе","А","1",""
"25","1140316154","Шланг в сборе","А","1",""
"26","1140316155","Шланг в сборе","А","1",""
"27","1140316157","Шланг в сборе","А","1",""
"28","1140316150","Шланг в сборе","А","1",""
"29","1140316151","Шланг в сборе","А","1",""
"30","02554605201201042","Стальная труба в сборе","А","1",""
"31","1140316153","Шланг в сборе","А","1",""
"32","1140316156","Шланг в сборе","А","1",""
"33","1140316138","Шланг в сборе","А","2",""
"34","1140213581","Шланг в сборе","А","2",""
"35","1140212677","Шланг в сборе","А","2",""
