"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","00772507100601190","Плита Ⅲ","А","1",""
"2","1000200778","Радиатор в сборе","А","1",""
"3","1040004517","Болт","А","15","JB/T5783-2000"
"4","00772507100601141","Гнутая пластина Ⅱ","А","1",""
"5","00771407100601170","Подкладка","А","6",""
"6","1040301031","Шайба","B","8","GB/T96.1-2002"
"7","1040002262","Болт","B","4","JB/T5783-2000"
"8","1040200170","Гайка","А","4","JB/T889-1986"
"9","00772707100601050","Шланг III","А","1",""
"10","1000300966","Вентилятор в сборе","А","1",""
"11","1990202282","Хомут спирального червяка","А","2",""
"12","00772707100601080","Труба подпиточной воды","А","1",""
"13","00772707100601010","Обратный водовод","А","1",""
"14","00772707100601150","Гнутая пластина Ⅲ","B","1",""
"15","1990202288","Хомут спирального червяка","А","8",""
"16","00772707100601060","Резиновая труба IV","А","1",""
"17","1040002435","Болт","А","4","JB/T5783-2016"
"18","1040302489","Шайба","B","8","GB/T97.1-2002"
"19","1040200504","Гайка","А","4","GB/T889.1-2000"
"20","00771407120601080","Прокладка вентилятора","B","1",""
"21","1040004508","Болт","А","4","JB/T5783-2016"
"22","02553207110601030","Штуцер шланга Ⅰ","А","1",""
"23","02553207110601060","Штуцер шланга Ⅱ","А","1",""
"24","02555497110601150","Паровой шланг Ⅲ","А","1",""
"25","02553207110601070","Водовыпускная труба","А","1",""
"26","02553207100601150","Паровой шланг III","А","1",""
"27","02553207110601010","Тройник","А","1",""
"28","1990202279","Хомут спирального червяка","А","8",""
"29","02553207110601090","Паровой рукав II","А","1",""
"30","02553207110601080","Паровой рукав I","А","1",""
"31","1000300735","Расширительный бак","А","1","1311--01690"
"32","1040200503","Гайка","А","15","GB/T889.1-2000"
"33","02553207100601030","Монтажная пластина 
расширительного водяного бака","А","1",""
"34","02554607100601140","Ветроотбойник","А","1",""
"35","1040301515","Шайба","А","34","GB/T97.1-2002"
