"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"6","02554600310600001","Сварной элемент стрелы третьей 
секции","А","1",""
"21","1040302489","Шайба","B","60","GB/T97.1-2002"
"70","1040302489","Шайба","B","44","GB/T97.1-2002"
"72","1040004033","Болт","А","20","JB/T5783-2000"
"86","02554600312201040","Стальной трос втягивающей 
башенной стрелы","А","2",""
"109","02554600312201030","Стальной трос выдвигающей 
башенной стрелы","А","3",""
"193","1040002434","Болт","А","8","JB/T5783-2016"
"196","1040201484","Гайка","А","4","JB/T6170-2000"
"197","02554000302201220","Скоба Ⅱ","А","3",""
"198","02554600311803000","Постоянный ролик","А","2",""
"199","00772500302201210","Скоба Ⅰ","B","4",""
"200","1040200741","Гайка","А","4","GB/T889.1-2000"
"201","00772500300401150","Пластина","А","2",""
"202","1040002433","Болт","А","3","JB/T5783-2000"
"203","1040203319","Гайка","B","3","GB/T889.1-2000"
"204","1040201363","Гайка","А","3","JB/T6170-2000"
