"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1140114942","Комбинированное соединение 45°","А","8",""
"2","1140114187","Манометрический штуцер","А","1",""
"3","1140101820","Прямой соединитель","А","1",""
"4","1010307490","Ходовой делительный клапан","А","1",""
"5","1040301510","Шайба","А","4","JB/T93-1987"
"6","1040004518","Болт","А","4","JB/T5783-2000"
"7","1040301515","Шайба","А","4","GB/T97.1-2002"
"8","1140111237","Прямой соединитель","А","1",""
"9","1140102812","Прямой соединитель","А","8",""
"10","1140101523","Прямой соединитель","А","2",""
"11","1140114701","Прямой удлиненный соединитель","А","2",""
"12","1140101534","Прямоугольный композитный 
штуцер","А","4",""
