"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"2","02554600312210000","Гидроцилиндр выдвижения-
втягивания","А","1",""
"21","1040302489","Шайба","B","60","GB/T97.1-2002"
"23","1040301016","Шайба","B","10","GB/T97.1-2002"
"59","1040200504","Гайка","А","12","GB/T889.1-2000"
"79","1040007461","Болт","А","8","JB/T5782-2000"
"299","02554600312230000","Опора шкива выдвигающей стрелы","А","1",""
"301","00772700302201150","Боковой сухарь шкива","B","2",""
"302","00772700302330000","Штырь ролика","B","1",""
"303","02554000302201120","Боковой сухарь шкива II","А","2",""
"304","02554000302201110","Боковой сухарь шкива I","А","2",""
"305","02554600312201130","Направляющий блок","А","2",""
"306","1040101567","Винт","А","2","GB/T70.1-2000"
"307","00772700302290000","Ролик","А","2",""
"308","1040102737","Винт","А","12","GB/T70.1-2000"
"309","1040100238","Винт","А","8","GB/T70.1-2000"
"310","1040004646","Болт","А","1","JB/T5783-2000"
"311","00771900311001240","Подшипник катка","А","4",""
"312","02554600312201150","Желоб I стального троса","А","2",""
"313","00772700302201110","Износостойкая прокладка","А","3",""
"314","02554600312201140","Желоб II стального троса","А","2",""
"315","02554600312201120","Плита L","А","2",""
