"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"36","1039820590","Пружинящее стопорное кольцо вала","А","6","GB894.2 -86"
"37","1039820591","Солнечное зубчатое колесо","А","1",""
"38","1039820592","Планетарный каркас","А","1",""
"39","1039820593","Пружинящее стопорное кольцо вала","А","2","GB894.2 -86"
"40","1039820594","Планетарное колесо","А","3",""
"41","1039820595","Цилиндрический роликоподшипник","А","3",""
"42","1039820596","Вал солнечного зубчатого колеса","А","1",""
"43","1039820597","Задняя крышка","А","1",""
"44","1039820598","О-образное кольцо","А","1",""
"45","1039820599","О-образное кольцо","А","1",""
"46","1039820600","Винт с цилиндрической головкой и 
внутренней шестигранью","А","16","GB70.1 -2000"
"47","1081202013","Масляная пробка","А","2","4HN-18"
"48","1039820601","Болт с шестигранной головкой","А","4","JB/T5783-2000"
"49","1081202014","Малая торцевая крышка","А","1",""
"50","1039814328","Цилиндрический ролик","А","1",""
"51","1039820602","Цилиндрический штифт","А","1","GB120-86"
