"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","02554005220801000","Сборка узлов балансировочного 
клапана изменения вылета консоли","А","1",""
"2","02554005220802000","Сборка узлов телескопического 
балансировочного клапана консоли","А","1",""
"3","02554605200801000","Сборка узлов балансировочного 
клапана выравнивания платформы","А","1",""
