"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1990202279","Хомут спирального червяка","А","6",""
"2","1009814300","Трубка подачи топлива","А","1",""
"3","1009814299","Трубка подачи топлива","А","1",""
"4","02553207110401050","Опора топливного фильтра","А","1",""
"5","00773407100401060","Пустотелый болт","А","2",""
"6","1081000673","Сложная уплотнительная шайба","А","4","JB/T982-1977"
"7","00773407100401050","Штуцер II","А","2",""
"8","1040002436","Болт","А","2","JB/T5783-2000"
"9","1040302490","Шайба","B","2","GB/T97.1-2002"
"10","02554607100401080","Опора водомаслоотделителя","А","1",""
"11","1000401180","Топливный фильтр грубой очистки","А","1",""
"12","1040002458","Болт","А","2","JB/T5783-2000"
"13","02554607100401030","Труба топлива Ⅲ","А","1",""
"14","00771607110410000","Бак топлива в сборе","D","1",""
"15","1040302512","Шайба","А","4","GB/T96.1-2002"
"16","1040002434","Болт","А","4","JB/T5783-2016"
"17","1040302480","Шайба","B","4","GB/T96.1-2002"
"18","1040200503","Гайка","А","6","GB/T889.1-2000"
"19","02552307100401020","Труба топлива Ⅰ","А","1",""
"20","1990200692","Резиновая лента с пластическим 
покрытием","B","6","20-φ20-φ20-M8"
"21","1040300771","Шайба","А","6","GB/T97.1-2002"
"22","1040005844","Болт","А","6","JB/T5783-2000"
"23","1040202855","Гайка","А","5","GB/T889.1-2000"
"24","1040301515","Шайба","А","7","GB/T97.1-2002"
"25","1040004520","Болт","А","3","JB/T5783-2000"
"26","1000401181","Топливный фильтр","А","1",""
"27","1040004675","Болт","А","2","JB/T5782-2000"
"28","02554607100401020","Труба топлива Ⅱ","А","1",""
