"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1019829509","Пылезащитное кольцо","А","1",""
"2","1019829510","Уплотнение вала","А","1",""
"3","1019829511","Упорная прокладка","А","1",""
"4","1019829512","Уплотнительное кольцо корпуса","А","1",""
"5","1019829513","Корпус","А","1",""
"6","1019829514","Упорный подшипник","А","1",""
"7","1019829515","Вал сцепления","А","1",""
"8","1019829516","Распорный диск","А","1",""
"9","1019829517","Пар вращающих статоров","А","1",""
"10","1019829518","Штифт совместного действия","А","1",""
"11","1019829519","Задняя крышка","А","1",""
"12","1019829520","Заглушка задней крышки","А","1",""
"13","1019829521","Прокладка болта","А","7",""
"14","1019829522","Болт","А","7",""
"15","1019829523","Вал","А","1",""
"16","1019829524","Шпонка","А","1",""
