"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1040002555","Болт","А","18","JB/T5783-2000"
"2","1040300771","Шайба","А","24","GB/T97.1-2002"
"3","1040103123","Винт","А","2","GB/T70.2-2000"
"4","1040201896","Гайка","А","12","GB/T889.1-2015"
"5","00771600122301180","Стержень столкновения","B","1",""
"6","00771600132301080","Соединительная плита","B","2",""
"7","00771600122301190","Ограничительный блок","А","2",""
"8","1040001631","Болт","А","4","JB/T5783-2000"
"9","1040300735","Шайба","А","6","GB/T96.1-2002"
"10","02555300102301010","Хомут стальной трубы","А","2",""
"11","1040302410","Шайба","А","4","GB/T97.1-2002"
"12","1040201772","Гайка","А","4","JB/T6170-2000"
"13","1040102776","Винт","А","4","GB/T70.1-2000"
"14","1159901036","Пружинная петля","А","2","HSL-4100-7K"
"15","00771600122301260","Сварная деталь ограничительной 
пластины II","B","1",""
"16","00771600122301230","Кронштейн II","B","1",""
"17","00771600122301200","Кронштейн I","B","1",""
"18","00771600122301250","Сварная деталь ограничительной 
пластины I","B","1",""
