"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1000001564","Дизельный двигатель","B","1",""
"2","02553207110201010","Гнутая пластина Ⅴ","А","1",""
"3","1040302490","Шайба","B","16","GB/T97.1-2002"
"4","1040005846","Болт","А","2","JB/T5783-2000"
"5","1040004519","Болт","А","4","JB/T5783-2000"
"6","1040301515","Шайба","А","4","GB/T97.1-2002"
"7","00773407140201060","Шайба","B","4",""
"8","00772707100201031","Гнутая пластина Ⅲ","А","1",""
"9","1040004644","Болт","А","2","JB/T5783-2016"
"10","1040004029","Болт","А","12","JB/T5783-2000"
"11","00772707100201061","Изогнутая пластинка Ⅳ","А","1",""
"12","02554607100210000","Кронштейн двигателя","А","1",""
"13","1009901073","Амортизатор двигателя","А","8",""
"14","00772707100201010","Подкладка","А","4",""
"15","1040200161","Гайка","А","4","JB/T889-1986"
"16","00772707100201080","Крышка муфты","А","1",""
"17","1040002435","Болт","А","12","JB/T5783-2016"
"18","1040302489","Шайба","B","12","GB/T97.1-2002"
"19","00772707100201051","Гнутая пластина I","А","1",""
"20","1040006401","Болт","А","8",""
"21","1009901109","Пружинная муфта в сборе","А","1",""
"22","00772707100201021","Гнутая пластина Ⅱ","А","1",""
"23","1040302492","Шайба","B","4","GB/T97.1-2002"
"24","1040003912","Болт","А","4","JB/T5783-2000"
