"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","00771407101001020","Выхлопная труба","A","1",""
"2","1040004519","Болт M8×25-8.8","A","4","GB/T5783-2000"
"3","1040200503","Гайка M8-8","A","4","GB/T889.1-2000"
"4","02554607131001020","Труба выпуска III","A","1",""
"5","00771907121001040","Труба выпуска II","A","1",""
"6","00773407151001060","Уплотнительная прокладка","A","2",""
"7","1040200398","Гайка M8-8","A","12","GB/T6177.1-2000"
"8","00772707101001011","Глушитель","A","1",""
"9","00772707101001040","Регулировочная прокладка","A","5",""
"10","00772707101040001","Кронштейн","A","1",""
"11","1040302480","Шайба 8-200HV","B","8","GB/T96.1-2002"
"12","1040004520","Болт M8×30-8.8","A","4","GB/T5783-2000"
"13","1040302489","Шайба 10-200HV","B","4","GB/T97.1-2002"
"14","1040004033","Болт M10×25-10.9","A","4","GB/T5783-2000"
"15","00771407121001060","Уплотнительная прокладка II","B","1",""
"16","00772707101001021","Труба выпуска I","A","1",""
"17","1040004619","Болт M8×35-8.8","A","8","GB/T5783-2000"
"18","1040301515","Шайба 8-200HV","A","12","GB/T97.1-2002"
