"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"2","1040301515","Шайба","А","18","GB/T97.1-2002"
"30","1040005844","Болт","А","4","JB/T5783-2000"
"31","1040300771","Шайба","А","4","GB/T97.1-2002"
"32","1040004517","Болт","А","4","JB/T5783-2000"
"33","02554000200001120","Прокладка концевого выключателя","А","4",""
"34","1040004590","Болт","А","4","JB/T5783-2000"
"35","02554000200001031","Панель заглушки","А","1",""
"36","00771400211200000","Подвижный трубный хомут","C","2",""
"37","02554000200801070","Шток рычага телескопического 
цилиндра","А","2",""
"38","00771400210001180","Стопорный штифт","C","2",""
"39","1040004511","Болт","А","2","JB/T5783-2016"
"40","02554000200001140","Капот датчика","А","1",""
"41","1040300771","Шайба","А","15","GB/T97.1-2002"
"42","1040002555","Болт","А","15","JB/T5783-2000"
"43","02554000201280000","Нижняя пылезащитная щетка","А","2",""
"44","02554000201260000","Верхняя пылезащитная щетка","А","1",""
"45","02554000201240000","Боковая пылезащитная щетка","А","2",""
"46","02554000201220000","Верхняя пылезащитная щетка","А","1",""
"47","1040004033","Болт","А","12","JB/T5783-2000"
"48","1040004032","Болт","А","6","JB/T5783-2000"
"49","1040302489","Шайба","B","30","GB/T97.1-2002"
"50","00773400300001131","Регулировочная шайба (2 мм)","А","8",""
"51","00771100301320000","Ползун","C","4",""
"52","00773400300001140","Регулировочная шайба Ⅴ","C","10",""
"53","00771100301310000","Ползун","C","2",""
"54","02554000201420000","Ползун","А","2",""
"55","02554600200200000","Сварной элемент стрелы первой 
секции","А","1",""
