"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","02554600800200001","Сварной элемент поворотной 
платформы","C","1",""
"24","1040302489","Шайба","B","13","GB/T97.1-2002"
"29","1040301515","Шайба","А","25","GB/T97.1-2002"
"60","02554600800001150","Стопорный штифт поворотной 
платформы","А","1",""
"61","1040103205","Винт","А","1","GB/T70.1-2000"
"62","00772700800001020","Кожух шестерни","А","1",""
"63","02554600800600000","Опора трубопровода","А","2",""
"64","1040002433","Болт","А","3","JB/T5783-2000"
"65","1040301031","Шайба","B","8","GB/T96.1-2002"
"66","1040004029","Болт","А","11","JB/T5783-2000"
"67","02554600800001240","Крышка","А","1",""
"68","1040004520","Болт","А","4","JB/T5783-2000"
