"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"69","1040007510","Болт","А","10","JB/T5782-2000"
"70","00772700700401151","Прижимная планка","А","5",""
"71","02554600701201010","Трубный зажим","А","10",""
"72","1040200504","Гайка","А","30","GB/T889.1-2000"
"73","1040302489","Шайба","B","54","GB/T97.1-2002"
"74","02554600701230000","Монтажная планка","А","1",""
"75","1040302512","Шайба","А","48","GB/T96.1-2002"
"76","1040002434","Болт","А","32","JB/T5783-2016"
"77","02554600701240000","Держатель длинной цепи III","А","1",""
"78","02554600701260000","Держатель длинной цепи IV","А","6",""
"79","02554600700420000","Буксируемая цепь основной стрелы","А","2",""
"80","02554000700411020","Узлы ролика","А","24",""
"81","02554600700421010","Стальная буксирная цепь","А","2",""
"82","02554600701250000","Верхняя буксирная труба","А","1",""
"83","1040200503","Гайка","А","38","GB/T889.1-2000"
"84","1040103116","Винт","А","12","GB/T70.1-2000"
"85","1040002435","Болт","А","12","JB/T5783-2016"
"86","1040103375","Винт","А","8","GB/T70.2-2000"
"87","1040302480","Шайба","B","2","GB/T96.1-2002"
"88","00772700700401281","Держатель короткой цепи","C","12",""
"89","00772700700401071","Нижний ползун","B","2",""
"90","00772700700401091","Верхний ползун","B","2",""
"91","02554000700401020","Монтажная пластина ползуна","А","1",""
"92","02554000700401010","Монтажная пластина ползуна","А","1",""
"93","00772700700401111","Монтажная пластина ползуна","А","1",""
"94","00772700700401121","Монтажная пластина ползуна","А","1",""
"95","1040102761","Винт","А","4","GB/T70.1-2000"
"96","1040004520","Болт","А","26","JB/T5783-2000"
"97","02554600701201020","Переходная плита","А","1",""
"98","00772700700401291","Регулировочная шайба","А","8",""
"99","02554600701220000","Нижняя буксирная труба","А","1",""
