"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"10","02555400100201020","Каучуковая прокладка","А","2",""
"11","1040102372","Винт с цилиндрической головкой и 
внутренней шестигранью","А","6","GB/T70.1-2000"
"12","1040201896","Гайка","А","14","GB/T889.1-2015"
"13","02555400100201010","Упорная планка","B","1",""
"14","1040300771","Шайба","А","18","GB/T97.1-2002"
"15","1040300735","Шайба","А","10","GB/T96.1-2002"
"16","1040102017","Винт","А","8","GB/T70.1-2000"
"17","00771100110240000","Сварная деталь задней пластины","B","1",""
"18","00771100110232000","Защитный кожух","C","1",""
"19","00773400100261060","Болт","А","2",""
"20","1040302480","Шайба","B","4","GB/T96.1-2002"
"21","1040303579","Шайба","А","4","GB/T96.1-2002"
"22","1040002738","Болт","А","4","JB/T5783-2000"
"23","1040200503","Гайка","А","2","GB/T889.1-2000"
"24","1040202855","Гайка","А","4","GB/T889.1-2000"
"25","00771100110230200","Упор II","B","1",""
"26","1040301515","Шайба","А","4","GB/T97.1-2002"
"27","1040103112","Винт","А","4","GB/T70.1-2000"
"28","00771100110230400","Упор","B","1",""
"29","1999904986","Коробка для файлов","А","1","ZJ1145029"
"30","1040201896","Гайка","А","11","GB/T889.1-2015"
"31","1040300735","Шайба","А","2","GB/T96.1-2002"
"32","1040102372","Винт с цилиндрической головкой и 
внутренней шестигранью","А","4","GB/T70.1-2000"
"33","02554000100001010","Хомут стальной трубы 
анеморумбографа","А","1",""
"34","00771400110001020","Держатель анеморумбографа","А","1",""
"35","00772700209901020","Анеморумбограф","А","1",""
"36","00773406300201010","Прокладка","B","3",""
"37","1040300771","Шайба","А","15","GB/T97.1-2002"
"38","1040101643","Винт","А","3","GB/T70.1-2000"
"39","1020521022","Педальный переключатель","А","1","FS-5G-20-C(hole)"
"63","02555400140210000","Свариваемые изделия платформы","А","1",""
