"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1140231462","Шланг в сборе","А","2",""
"2","1140249105","Шланг в сборе","А","2",""
"3","1140239481","Шланг в сборе","А","1",""
"4","1140316127","Шланг в сборе","А","4",""
"5","1140215534","Шланг в сборе","А","1",""
"6","1140202235","Шланг в сборе","А","1",""
"7","1140208177","Шланг в сборе","А","1",""
"8","1140211928","Шланг в сборе","А","1",""
"9","1140211925","Шланг в сборе","А","1",""
"10","1140249534","Шланг в сборе","А","1",""
"11","1140249353","Шланг в сборе","А","1",""
"12","1140245621","Шланг в сборе","А","4",""
"13","1140228082","Шланг в сборе","А","4",""
"14","1140253722","Шланг в сборе","А","4",""
"15","1140250599","Шланг в сборе","А","4",""
"16","1140316126","Шланг в сборе","А","8",""
"17","1140249670","Шланг в сборе","А","1",""
"18","1140228416","Шланг в сборе","А","4",""
"19","1140249698","Шланг в сборе","А","4",""
"20","1140259759","Шланг в сборе","А","4",""
"21","1140101807","Шланг в сборе","А","2",""
"22","1140111287","Шланг в сборе","А","4",""
