"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"5","02554600310800001","Сварная деталь стрелы четвертой 
секции","А","1",""
"89","1040302489","Шайба","B","38","GB/T97.1-2002"
"92","00772700301801060","Регулировочная шайба","B","6",""
"93","1040004033","Болт","А","6","JB/T5783-2000"
"94","1040103112","Винт","А","4","GB/T70.1-2000"
"95","00772700301430000","Ползун","А","2",""
"96","00772700301601070","Регулировочная шайба","B","6",""
"97","00772700301601021","Регулировочная шайба","А","2",""
"98","00772700301630000","Ползун","А","2",""
"99","00772500301601011","Ползун","А","2",""
"100","1040000574","Болт","B","8","JB/T5783-2016"
"101","00772700301601060","Буферный блок","B","2",""
"102","00772700301601011","Регулировочная шайба","А","4",""
