"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"2","02554600312210000","Гидроцилиндр выдвижения-
втягивания","А","1",""
"21","1040302489","Шайба","B","60","GB/T97.1-2002"
"80","02554600312201010","Стальной трос выдвигающей 
верхней стрелы","А","5",""
"222","1040500394","Шплинт","А","24","JB/T91-2000"
"289","00772700302201242","Подшипник, не требующий смазки","B","5",""
"290","02554000302220000","Шкив выдвигающей верхней 
стрелы","А","5",""
"291","02554600312300000","Штифт шкива выдвигающей стрелы","А","1",""
"292","00772700302201090","Износостойкая прокладка","А","2",""
"293","02554600312201190","Втулка Ⅰ","А","2",""
"294","02554600312201100","Крышка шкива выдвигающей 
верхней стрелы","А","1",""
"295","02554600312201080","Крышка шкива выдвигающей 
верхней стрелы I","А","4",""
"296","00772700302201080","Износостойкая прокладка","А","4",""
"297","1040102757","Винт","А","6","GB/T70.3-2000"
"298","00772700302201200","Износостойкая прокладка","А","2",""
"299","02554600312230000","Опора шкива выдвигающей стрелы","А","1",""
"300","00772500302201140","Стопорная плита","B","1",""
