"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","02554601100200000","Сварка лево-переднего капота","А","1",""
"2","02554601101000000","Сварка лево-переднего капота II","А","1",""
"3","02554601100600002","Сварка лево-заднего капота","А","1",""
"4","02554601100001031","Левая уплотняющая пластина I","А","1",""
"5","02554601100001041","Левая уплотняющая пластина II","А","1",""
"6","02554601100001051","Левая уплотняющая пластина III","А","1",""
"7","1040001640","Болт","А","32","JB/T5783-2000"
"8","1040300735","Шайба","А","64","GB/T96.1-2002"
"9","1040201896","Гайка","А","32","GB/T889.1-2015"
