"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1000401018","Бак мочевины","B","1",""
"2","02553207101201130","Натяжной ремень","А","2",""
"3","1040103118","Винт","А","3","GB/T70.1-2000"
"4","1000401019","Насос мочевины","А","1",""
"5","02553200800001021","Опора","B","1",""
"6","1040303580","Шайба","А","11","GB/T96.1-2002"
"7","1040002436","Болт","А","4","JB/T5783-2000"
"8","1040202855","Гайка","А","9","GB/T889.1-2000"
"9","1040302490","Шайба","B","4","GB/T97.1-2002"
"10","1040004520","Болт","А","2","JB/T5783-2000"
"11","02553207101201140","Гнутая пластина I","B","1",""
"12","1040201896","Гайка","А","2","GB/T889.1-2015"
"13","1040300771","Шайба","А","2","GB/T97.1-2002"
"14","1040001631","Болт","А","2","JB/T5783-2000"
"15","1040104080","Винт","А","3","GB/T70.1-2000"
"16","1040300514","Шайба","А","3","GB/T97.1-2002"
"17","02553207101201160","Поддержающая плита клапана 
охлаждающей жидкости","А","1",""
"18","1000301276","Клапан охлаждения","А","1",""
"19","02554607111201070","Обратная труба","А","1",""
"20","02554607111201040","Выпускная труба II","А","1",""
"21","1990203470","Бандажная лента","А","1",""
"22","02553207101201090","Тройник","А","2",""
"23","1990202279","Хомут спирального червяка","А","2",""
"24","02554607111201050","Обратная труба Ⅱ","А","1",""
"25","02554607111201080","Водозаборная труба Ⅰ","А","1",""
"26","02554607111201060","Обратный водовод III","А","1",""
"27","02554607111201090","Водозаборная труба","А","1",""
"28","02553207101201100","Водовыпускная труба III","А","1",""
"29","1990202281","Хомут спирального червяка","А","12",""
