"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"6","02554600310600001","Сварной элемент стрелы третьей 
секции","А","1",""
"21","1040302489","Шайба","B","60","GB/T97.1-2002"
"46","1040101643","Винт","А","12","GB/T70.1-2000"
"47","00772700302341030","Прокладочное кольцо","А","4",""
"48","02554600312281040","Прокладка","А","8",""
"49","00771900301001250","Боковая планка","А","2",""
"50","00771900301001240","Роликовый шкив","А","10",""
"51","02554600312281020","Втулка","А","2",""
"52","02554600312281011","Соединительная плита","А","1",""
"53","1040200507","Гайка","А","1","GB/T889.1-2000"
"54","1040302490","Шайба","B","4","GB/T97.1-2002"
"55","1040000227","Болт","А","1","JB/T5782-2000"
"56","00772500302201080","Перегородка троса VI","C","1",""
"57","00771600301001470","Износостойкая прокладка Ⅱ","C","49",""
"58","02554600312201290","Шпилька с двумя головками","А","2",""
"59","1040200504","Гайка","А","12","GB/T889.1-2000"
"60","00772700302230000","Шкив втягивающей верхней стрелы","А","2",""
"61","02554600312201020","Стальной трос втягивающей 
верхней стрелы","А","2",""
"62","00772700301401070","Регулировочная шайба","B","6",""
"63","1040300771","Шайба","А","23","GB/T97.1-2002"
"64","00772700301470000","Штифт","B","2",""
"65","1040004032","Болт","А","2","JB/T5783-2000"
"66","1040002555","Болт","А","12","JB/T5783-2000"
"67","00772500301401031","Сухарик","А","2",""
"68","1040303581","Шайба","А","2","GB/T96.1-2002"
