"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"3","02554600311200001","Сварная деталь стрелы шестой 
секции","А","1",""
"278","1040007293","Болт","А","1","JB/T5782-2016"
"279","02554600312620000","Выравнивающий цилиндр консоли","А","1",""
"280","02554000300001030","Подшипник, не требующий смазки","А","4",""
"281","1040002447","Болт","А","1","JB/T5783-2000"
"282","02554600310001010","Штифт консоли","А","1",""
"283","02554000300001050","Ограничительный    планка","А","2",""
"284","02554600310001020","Штифт консоли","А","1",""
"285","00773400400001170","Стопорный штифт","F","1",""
"286","02554600310001030","Штифт цилиндра выравнивания 
консоли","А","1",""
"287","00773400400001250","Стопорный штифт","E","1",""
"288","1040103192","Винт","А","4","GB/70.3-2000"
