"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","02554600310400001","Сварной элемент стрелы второй 
секции","А","1",""
"9","1040301515","Шайба","А","11","GB/T97.1-2002"
"10","1040300771","Шайба","А","41","GB/T97.1-2002"
"11","1040002555","Болт","А","12","JB/T5783-2000"
"30","1040300771","Шайба","А","27","GB/T97.1-2002"
"31","1040302489","Шайба","B","50","GB/T97.1-2002"
"32","1040001631","Болт","А","27","JB/T5783-2000"
"139","02554600310001150","Регулировочная шайба","А","24",""
"140","1040001631","Болт","А","25","JB/T5783-2000"
"141","1040006550","Болт","А","10","JB/T5783-2000"
"142","1040301016","Шайба","B","10","GB/T97.1-2002"
"169","02554600310001141","Крышка","А","1",""
"170","02554600310001120","Капот датчика","А","1",""
"171","02554600310001161","Капот датчика","А","1",""
"172","02554600310001180","Соединительная пластина II","А","1",""
"173","1040004520","Болт","А","3","JB/T5783-2000"
"174","02554600310001111","Гнутая пластина","А","1",""
"175","1040004033","Болт","А","8","JB/T5783-2000"
"176","02554600311603000","Постоянный ролик","А","2",""
"177","02554600311604010","Регулировочная шайба","А","6",""
"178","02554600311604020","Скоба","А","2",""
