"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"4","02554600311000001","Сварная деталь стрелы пятой 
секции","А","1",""
"105","1040302489","Шайба","B","36","GB/T97.1-2002"
"110","1040004034","Болт","А","6","JB/T5783-2000"
"111","1040000574","Болт","B","6","JB/T5783-2016"
"112","00772700301801060","Регулировочная шайба","B","10",""
"113","00772700301601070","Регулировочная шайба","B","10",""
"114","1040103111","Винт","А","4","GB/T70.1-2000"
"115","00772700301801070","Буферный блок","А","2",""
"116","00772700301830000","Ползун","А","2",""
"117","00772500302001021","Ползун","А","2",""
"118","00772700301840000","Ползун","А","2",""
