"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1040100367","Винт","А","1",""
"2","02554000202600001","Поршень","А","1",""
"3","1081401912","Направляющее кольцо","А","2",""
"4","1089901249","780 Узел поршневой герметизации","А","1",""
"5","1081001490","Уплотнительное кольцо","А","1",""
"6","1081005802","Стопорное кольцо","А","2",""
"7","02554000202601000","Корпус цилиндра","А","1",""
"8","02554000202602000","Поршневой шток","А","1",""
"9","02554000202600002","Направляющая втулка","А","1",""
"10","1040300242","Стопорное кольцо","А","1",""
"11","1054400182","Комбинированная втулка","А","1",""
"12","1081000557","О-образное кольцо","А","1",""
"13","1040301079","Стопорное кольцо","А","1",""
"14","1081006039","Уплотнительное кольцо STd","А","1",""
"15","1081007296","U-образное кольцо","А","1",""
"16","1081200955","FL Пылезащитное кольцо","А","1",""
