"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1140101564","Полуфланец","А","1",""
"2","1081004931","Уплотнительное кольцо","А","1",""
"3","1010002297","Функциональный насос","А","1",""
"4","1040000575","Болт","А","2","JB/T5783-2000"
"5","1040302490","Шайба","B","2","GB/T97.1-2002"
"6","1140107814","Штуцер","А","1",""
"7","1081004386","Уплотнительное кольцо","B","1",""
"8","1140105214","Полуфланец","А","1",""
"9","1140114403","Прямоугольный композитный 
штуцер","А","1",""
"10","1140105246","Прямой соединитель","А","1",""
