"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"5","02554606200130000","Электрический шкаф управления 
платформой в сборе","А","1",""
"19","1040200504","Гайка","А","4",""
"20","1040302512","Шайба","А","8",""
"21","00772700100001020","Каучуковая прокладка","B","2",""
"22","1040004508","Болт","А","4",""
