"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"3","02554601100600002","Сварка лево-заднего капота","А","1",""
"23","1040202856","Гайка","А","24","GB/T889.1-2000"
"24","1040303581","Шайба","А","24","GB/T96.1-2002"
"25","1040004678","Дверной запорный болт","А","12","M10×70"
"26","02554601100001070","Планка для установки останова 
двери II","А","1",""
"27","1040302512","Шайба","А","21","GB/T96.1-2002"
"28","1040200504","Гайка","А","6","GB/T889.1-2000"
"29","1040004507","Болт","А","6","JB/T5783-2016"
"30","1040300771","Шайба","А","53","GB/T97.1-2002"
"31","1040004517","Болт","А","12","JB/T5783-2000"
"32","1040006017","Винт","B","37","GB/T70.1-2000"
"33","00771101100001081","Установочная пластина сердечника 
замка","B","1",""
"34","1109900765","Гидравлический дверной замок","А","2","50075-C37K"
"35","1040004507","Болт","А","2","JB/T5783-2016"
"36","1040302512","Шайба","А","8","GB/T96.1-2002"
"37","1040200504","Гайка","А","2","GB/T889.1-2000"
"38","02554601100001060","Монтажная планка","А","1",""
"39","1040004033","Болт","А","11","JB/T5783-2000"
"40","1040302512","Шайба","А","8","GB/T96.1-2002"
"41","00771601101001011","Пластина","А","1",""
"42","00772701103001012","Стержень болта","А","1",""
