"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"4","00773407000201432","Точка подъема","А","4",""
"6","00773407000201242","Подъем запрещен","А","2",""
"8","02555407010231062","Демонтаж в соответствии с 
инструкцией","А","2",""
"9","00773407000231582","Сложный знак привязки и 
запрещения подъема","А","8",""
"10","00773407000201272","Запрещается промывать водой","А","2",""
"11","02554007070231142","Опасность опрокидывания 230-300-
454KG","B","1",""
"18","02554607070431050","Безопасность нагрузки на шасси - -
26200kg","А","4",""
"20","00773407000231252","Стопорный штифт","B","1",""
"21","02555407000201120","Желтая стрелка","А","4",""
"22","02555407000201110","Синяя стрелка","А","4",""
"23","02554607070431020","Знак модели капота ZT82J","А","1",""
"24","00764307000231172","Регулярное введение консистентной 
смазки поворотных подшипников","А","1",""
"25","00771407030201143","Демонтаж запрещен","А","10",""
"32","00773407000201412","Точка крепления страховочного 
троса","C","6",""
"35","00773407000231192","Опасность раздавливания","А","2",""
"37","00773407000231392","Сохраните руководство","А","1",""
"39","00773407000231322","Опасность столкновения II","А","2",""
"42","00771407000401372","Инструкция по добавлению мочевины Евро-V","А","1",""
"45","00773407000201290","Желтый треугольник","А","2",""
"46","00773407000201300","Синий треугольник","А","2",""
