"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","02554607101001110","Выхлопной хвост","А","1",""
"2","1089901079","Плоский обруч","А","2",""
"3","1000001565","Постпроцессор в сборе","А","1",""
"4","1089901078","Прокладка","А","1",""
"5","1089901077","V-образный зажим","А","1",""
"6","02554607111001010","Выхлопная трубаⅠ","А","1",""
"7","02553207111001170","Герметизирующая прокладка II","А","1",""
"8","1000201153","V-образный зажим","А","1",""
"9","1040004518","Болт","А","4","JB/T5783-2000"
"10","1040302480","Шайба","B","8","GB/T96.1-2002"
"11","02554607111001040","Выхлопная трубаⅠ","А","1",""
"12","02553207111001130","Трубный зажим на обеих сторон","А","1",""
"13","1040004033","Болт","А","2","JB/T5783-2000"
"14","1040302489","Шайба","B","2","GB/T97.1-2002"
"15","02554607111001050","Опора выхлопной трубы","А","1",""
"16","02553207101001120","Регулировочная шайба","А","6",""
"17","1040002436","Болт","А","8","JB/T5783-2000"
"18","1040302490","Шайба","B","8","GB/T97.1-2002"
"19","02554607111010000","Кронштейн для постобработки I","А","1",""
"20","1040303581","Шайба","А","16","GB/T96.1-2002"
"21","1040000574","Болт","B","8","JB/T5783-2016"
"22","02554607111020000","Кронштейн для постобработки II","А","1",""
"23","02154407100101030","Зажим","А","2",""
"24","1040202856","Гайка","А","8","GB/T889.1-2000"
"25","02554607111001020","Выхлопная труба Ⅱ","А","1",""
"26","02557007111001010","Выхлопной хвост Ⅱ","А","1",""
"27","1040200398","Гайка","А","8","GB/T6177.1-2000"
"28","1040004519","Болт","А","4","JB/T5783-2000"
