"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"3","02554601100600002","Сварка лево-заднего капота","А","1",""
"10","02554601102400001","Опора для установки лево-заднего 
капота","А","1",""
"11","1020605390","Пневматическая пружина","А","22","000815"
"12","1040201382","Гайка","А","24","JB/T6170-2000"
"13","1040301505","Шайба","А","24","JB/T93-1987"
"14","1040302513","Шайба","А","32","GB/T96.1-2002"
"15","00771401110001030","Прижимная планка","C","12",""
"16","1040004520","Болт","А","78","JB/T5783-2000"
"17","1040302480","Шайба","B","136","GB/T96.1-2002"
"18","1040301510","Шайба","А","36","JB/T93-1987"
"19","1040201089","Гайка","А","54","JB/T6170-2000"
"20","00771401112601021","Петля II","А","1",""
"21","00772701104001010","Петля I","А","1",""
"22","00771401112601030","Штифт","А","1",""
