"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"7","02554600310200001","Сварной элемент стрелы первой 
секции","А","1",""
"10","1040300771","Шайба","А","41","GB/T97.1-2002"
"11","1040002555","Болт","А","12","JB/T5783-2000"
"138","02554600310001100","Капот датчика","А","2",""
"139","02554600310001150","Регулировочная шайба","А","24",""
"140","1040001631","Болт","А","25","JB/T5783-2000"
"141","1040006550","Болт","А","10","JB/T5783-2000"
"142","1040301016","Шайба","B","10","GB/T97.1-2002"
"143","02554600310001170","Соединительная плита","А","1",""
"144","1040001631","Болт","А","25","JB/T5783-2000"
"145","02554600311405010","Скоба","А","2",""
"146","02554600311405020","Регулировочная шайба","А","6",""
"147","1040300771","Шайба","А","33","GB/T97.1-2002"
