"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","02554600800200001","Сварной элемент поворотной 
платформы","C","1",""
"12","1040302490","Шайба","B","8","GB/T97.1-2002"
"13","1040301503","Шайба","А","19","JB/T93-1987"
"14","1040002436","Болт","А","8","JB/T5783-2000"
"15","02554600800001140","Кронштейн аккумулятора","А","1",""
"16","00771400800001120","Держатель электрического 
выключателя","А","1",""
"17","02554600801600000","Кронштейн для кабеля","А","1",""
"18","00772700800001200","Прижимная планка I","А","2",""
"19","00772700800001190","Тяга I","А","4",""
"20","1040001640","Болт","А","2","JB/T5783-2000"
"21","1040300771","Шайба","А","2","GB/T97.1-2002"
"22","1040201896","Гайка","А","2","GB/T889.1-2015"
"23","1040000574","Болт","B","2","JB/T5783-2016"
"24","1040302489","Шайба","B","13","GB/T97.1-2002"
"25","1040200504","Гайка","А","6","GB/T889.1-2000"
