"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","02554600701401011","Трубный зажим","B","2",""
"2","1040200504","Гайка","А","12","GB/T889.1-2000"
"3","1040302489","Шайба","B","10","GB/T97.1-2002"
"4","1040007511","Болт","А","2","JB/T5782-2000"
"5","02554600701401020","Прижимная планка","А","1",""
"6","02554600700610000","Буксируемая цепь подъема вылета","А","1",""
"7","1040103375","Винт","А","8","GB/T70.2-2000"
"8","00772700700401290","Регулировочная шайба","А","1",""
"9","1040002435","Болт","А","2","JB/T5783-2016"
"10","1040302512","Шайба","А","2","GB/T96.1-2002"
"11","02554600701401030","Крепительная планка","А","1",""
