"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"4","02554600311000001","Сварная деталь стрелы пятой 
секции","А","1",""
"21","1040302489","Шайба","B","60","GB/T97.1-2002"
"57","00771600301001470","Износостойкая прокладка Ⅱ","C","49",""
"105","1040302489","Шайба","B","36","GB/T97.1-2002"
"222","1040500394","Шплинт","А","24","JB/T91-2000"
"253","02554600312201220","Втулка ⅠⅠⅠ","А","6",""
"254","1040002433","Болт","А","2","JB/T5783-2000"
"255","02554600312403000","Сварной элемент штыря шкива","А","2",""
"256","02554600312260000","Шкив выдвигающей третьей стрелы","А","2",""
"257","02554600312201090","Защитная планка шкива 
втягивающей третьей стрелы","А","2",""
