"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1040004029","Болт M12×35-10.9","A","12","GB/T5783-2000"
"2","1040006401","Болт 3/8-16UNC-2A×35-10.9","A","8",""
"3","00772707100201080","Крышка муфты","A","1",""
"4","00774007100201060","Монтажная плита ECU","A","1",""
"5","1040201896","Гайка M6-8","A","4","GB/T889.1-2015"
"6","1040002178","Болт M6×30-A2-70","A","4","GB/T5783-2000"
"7","1040301515","Шайба 8-200HV","A","8","GB/T97.1-2002"
"8","1040004518","Болт M8×20-8.8","A","4","GB/T5783-2000"
"9","1040002435","Болт M10×35-8.8","A","12","GB/T5783-2016"
"10","1040302489","Шайба 10-200HV","B","12","GB/T97.1-2002"
"11","02554607100210000","Кронштейн двигателя","A","1",""
"12","1009901073","Демпфер двигателя","A","8",""
"13","1040200161","Гайка M16-8","A","4","GB/T889-1986"
"14","00772707100201010","Прокладочная пластина","A","4",""
"15","1000300679","Масляный фильтр","A","1",""
"16","00772707100201061","Гнутая пластина IV","A","1",""
"17","1040004644","Болт M12×45-10.9","A","2","GB/T5783-2016"
"18","00772707100201031","Гнутая пластина III","A","1",""
"19","1040302492","Шайба 16-200HV","B","4","GB/T97.1-2002"
"20","1040003912","Болт M16×120-10.9-DKL","A","4","GB/T5783-2000"
"21","00773407140201060","Шайба","B","4",""
"22","1040004519","Болт M8×25-8.8","A","4","GB/T5783-2000"
"23","1040005846","Болт M12×20-8.8","A","2","GB/T5783-2000"
"24","1040302490","Шайба 12-200HV","B","16","GB/T97.1-2002"
"25","02553207110201010","Гнутая пластина V","A","1",""
"26","1000002751","Дизельный двигатель 
73кВт@2200об/мин","B","1",""
"27","1009901109","Упругая муфта в сборе","A","1",""
"28","00772707100201021","Гнутая пластина II","A","1",""
"29","00772707100201051","Гнутая пластина I","A","1",""
