"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1040004517","Болт","А","4","JB/T5783-2000"
"2","1040301510","Шайба","А","8","JB/T93-1987"
"3","1040301515","Шайба","А","8","GB/T97.1-2002"
"4","1140101534","Прямоугольный композитный 
штуцер","А","2",""
"5","1040004518","Болт","А","4","JB/T5783-2000"
"6","1040002433","Болт","А","4","JB/T5783-2000"
"7","1040301502","Шайба","А","4","JB/T93-1987"
"8","1040302489","Шайба","B","4","GB/T97.1-2002"
"9","1140101523","Прямой соединитель","А","2",""
"10","1140101478","Прямоугольный композитный 
штуцер","А","3",""
"11","1140101820","Прямой соединитель","А","2",""
"12","1010601369","Подпиточный фильтр","А","1",""
"13","1010601137","Фильтр высокого давления","А","1",""
"14","1010601138","Фильтр высокого давления","А","1",""
"15","1140101464","Прямой соединитель","А","2",""
