"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1040004519","Болт","А","4","JB/T5783-2000"
"2","1040301515","Шайба","А","4","GB/T97.1-2002"
"3","02554607101001110","Выхлопной хвост","А","1",""
"4","1040202855","Гайка","А","4","GB/T889.1-2000"
"5","02557007111001010","Выхлопной хвост Ⅱ","А","1",""
"6","1009806341","Сильный зажим","А","2",""
"7","02554607101001020","Выхлопная труба Ⅱ","B","1",""
"8","02553207101001120","Регулировочная шайба","А","6",""
"9","02554600800001050","Кронштейн для постобработки","А","2",""
"10","1040303581","Шайба","А","16","GB/T96.1-2002"
"11","1040000574","Болт","B","8","JB/T5783-2016"
"12","1040202856","Гайка","А","8","GB/T889.1-2000"
"13","1040302490","Шайба","B","8","GB/T97.1-2002"
"14","1040002436","Болт","А","8","JB/T5783-2000"
"15","1040004518","Болт","А","4","JB/T5783-2000"
"16","1040302480","Шайба","B","4","GB/T96.1-2002"
"17","1040302512","Шайба","А","2","GB/T96.1-2002"
"18","1040004033","Болт","А","2","JB/T5783-2000"
"19","02553207111001150","Выхлопная трубаⅠ","А","1",""
"20","1040200398","Гайка","А","4","GB/T6177.1-2000"
"21","02553207111001130","Трубный зажим на обеих сторон","А","1",""
"22","02553207111001140","Опора выхлопной трубы","А","1",""
"23","1000201153","V-образный зажим","А","1",""
"24","02553207111001170","Герметизирующая прокладка II","А","1",""
"25","02553207111001160","Выхлопная трубаⅠ","А","1",""
"26","1089901078","Прокладка","А","1",""
"27","1089901077","V-образный зажим","А","1",""
"28","1000200610","Постпроцессор в сборе","А","1",""
"29","02154407100101030","Зажим","А","2",""
