"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1040101814","Винт","А","1","JB/T78-2000"
"2","02554600800800001","Поршень","А","1",""
"3","1081400898","Направляющее кольцо","А","2","KT200"
"4","1081015113","Поршневое уплотнительное кольцо","А","1","780--5008410"
"5","1081012600","О-образное кольцо","А","1","OR"
"6","1081007947","Стопорное кольцо","А","2","PW1"
"7","02554600800802000","Поршневой шток","А","1",""
"8","02554600800801000","Корпус цилиндра","А","1",""
"9","1040301473","Стопорное кольцо","А","1","GB/T895.1-1986"
"10","1054400086","Комбинированная втулка","А","1","SF-1 17060"
"11","02554600800800002","Направляющая втулка","А","1",""
"12","1081012626","О-образное кольцо","А","1","OR"
"13","1081008018","Стопорное кольцо","А","1","PW1"
"14","1081008833","Уплотнительное кольцо STd","А","1","A16MR01700NHLX"
"15","1081006583","U-образное кольцо","А","1","GYW170190"
"16","1081200904","FL Пылезащитное кольцо","А","1","FL170185"
"17","1081001455","О-образное кольцо","А","1","GB/T3452.1-2005"
"18","1081012027","О-образное кольцо","А","1","GB/T3452.1-2005"
"19","02554600800800003","Нажимная крышка","А","1",""
"20","1040100466","Винт","А","1","JB/T78-2000"
