"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","00771607110410000","Бак топлива в сборе","D","1",""
"2","1990202279","Хомут спирального червяка","А","6",""
"3","1040005844","Болт","А","6","JB/T5783-2000"
"4","1040300771","Шайба","А","6","GB/T97.1-2002"
"5","1990200692","Резиновая лента с пластическим 
покрытием","B","6",""
"6","02554607110401010","Опора водомаслоотделителя","А","1",""
"7","1040202855","Гайка","А","6","GB/T889.1-2000"
"8","1040302490","Шайба","B","2","GB/T97.1-2002"
"9","1040002436","Болт","А","2","JB/T5783-2000"
"10","1081000528","Сложная уплотнительная шайба","А","4",""
"11","00773407150401030","Штуцер II","А","2",""
"12","00773407150401020","Пустотелый болт","А","2",""
"13","1040301515","Шайба","А","6","GB/T97.1-2002"
"14","1040004520","Болт","А","4","JB/T5783-2000"
"15","1000400488","Фильтр грубой очистки топлива","А","1",""
"16","02150107100401190","Труба топлива Ⅰ","А","1",""
"17","02553207100401080","Опора топливного фильтра II","B","1",""
"18","1000400947","Тонкая фильтрация топливного 
масла","А","1",""
"19","1040102737","Винт","А","2","GB/T70.1-2000"
"20","02552007130401010","Топливная труба VIII","А","1",""
"21","02553207110401030","Труба топлива Ⅲ","А","1",""
"22","1040002434","Болт","А","4","JB/T5783-2016"
"23","1040302512","Шайба","А","4","GB/T96.1-2002"
"24","1040200503","Гайка","А","4","GB/T889.1-2000"
"25","1040302480","Шайба","B","4","GB/T96.1-2002"
